File prefix,Document,Country,NSS/WP/DD,ISO Alpha-3 Code,M49 code,Year,Length,segment_count,word_count,Language 1,Language 2,Language 3,Language 4,Language 5,Language 6,Language 7,Language 8,Language 9,Language 10,Language 11,Publishing Ministry,URL Link to Docs,G77 Member,G77_Member_Binary
640,640 Finland Foreign and Security Policy 2020,Finland,NSS,FIN,246,2020,54,771,17566,English,,,,,,,,,,,Ministry for Foreign Affairs of Finland,,No,0
639,639 Finland Foreign and Security Policy 2016,Finland,NSS,FIN,246,2016,34,424,8678,English,,,,,,,,,,,Prime Ministers Office,,No,0
638,638 Czechia Long Term Perspective on Defense 2015,Czechia,DD,CZE,203,2015,24,227,6029,English,,,,,,,,,,,Ministry of Defence,,No,0
637,637 Czechia Doctrine Armed Forces 2004,Czechia,DD,CZE,203,2004,145,1253,35226,English (Translated),Czech (Original),,,,,,,,,,Ministry of Defence,,No,0
636,636 Croatia Strategic Defense Review 2018,Croatia,WP,HRV,191,2018,78,734,20802,English (Translated),Croatian (Original),,,,,,,,,,Ministry of Defence,,No,0
635,635 Bulgaria Programme Development 2021,Bulgaria,DD,BGR,100,2021,40,642,19539,English,,,,,,,,,,,Ministry of Defence,,No,0
634,634 Australia Defence Corporate Plan 2022,Australia,DD,AUS,36,2022,36,433,9861,English,,,,,,,,,,,Department of Defence,,No,0
633,633 Australia Defence Corporate Plan 2021,Australia,DD,AUS,36,2021,39,747,16021,English,,,,,,,,,,,Department of Defence,,No,0
632,632 Australia Defence Corporate Plan 2019,Australia,DD,AUS,36,2019,24,306,7282,English,,,,,,,,,,,Department of Defence,,No,0
631,631 Australia Foreign Policy White Paper 2017,Australia,NSS,AUS,36,2017,136,1779,41379,English,,,,,,,,,,,Department of Foreign Affairs and Trade,,No,0
630,630 Australia Defence Corporate Plan 2017,Australia,DD,AUS,36,2017,18,264,5912,English,,,,,,,,,,,Department of Defence,,No,0
629,629 Albania Defense Directive 2023,Albania,DD,ALB,8,2023,7,99,3155,English,,,,,,,,,,,Ministry of Defense,,No,0
628,628 Albania Defense Directive 2022,Albania,DD,ALB,8,2022,7,92,3173,English,,,,,,,,,,,Ministry of Defense,,No,0
627,627 Albania Fletorja Zyrtare 2016,Albania,DD,ALB,8,2016,61,524,18635,English (Translated),Albanian (Original),,,,,,,,,,Ministry of Defence,,No,0
624,624 Indonesia Implementation Policy National Defense 2020 - 2024 2021,Indonesia,DD,IDN,360,2021,40,298,8950,English (Translated),Indonesian (Original),,,,,,,,,,Ministry of Defense,https://www.kemhan.go.id/wp-content/uploads/2022/08/LAMP-JAKGARA-HANNEG-17-Mei-Final.pdf,Yes,1
623,623 Indonesia General State Defense Policy for 2020-2024 2021,Indonesia,DD,IDN,360,2021,170,1107,42861,English (Translated),Indonesian (Original),,,,,,,,,,Ministry of Defense,https://www.kemhan.go.id/wp-content/uploads/2021/06/WIRA-MASTER-JAN-FEB2021-rev-JAKUMHANEG-19april2021INDONESIAKomplit.pdf,Yes,1
622,622 United Kingdom National Security Strategy 2025,UK,NSS,GBR,826,2025,55,630,16018,English,,,,,,,,,,,Cabinet Office,,No,0
621,621 United Kingdom Strategic Defence Review 2025,UK,WP,GBR,826,2025,162,1926,47044,English,,,,,,,,,,,Ministry of Defence,,No,0
619,619 Finland Government Defence Report 2024,Finland,DD,FIN,246,2024,120,1801,41244,English,,,,,,,,,,,Ministry of Defence,https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/166004/PLM_2024_7.pdf?sequence=4&isAllowed=y,No,0
618,618 Germany defence policy guidelines 2023,Germany,DD,DEU,276,2023,36,433,10209,English,,,,,,,,,,,Ministry of Defence,,No,0
616,616 Japan defense of Japan 2024,Japan,WP,JPN,392,2024,572,13797,319109,English,,,,,,,,,,,Ministry of Defense,https://www.mod.go.jp/en/publ/w_paper/wp2024/DOJ2024_EN_Full.pdf,No,0
615,615 Netherlands defence white paper 2024,Netherlands,WP,NLD,528,2024,35,1108,24714,English,,,,,,,,,,,Ministry of Defence,,No,0
614,614 Fiji National Security and Defence Review 2024,Fiji,NSS,FJI,242,2024,96,898,20070,English,,,,,,,,,,,Central Government,https://www.fiji.gov.fj/getattachment/1d273c93-a1b9-4c43-b5c7-6392a9b6c845/Fiji-National-Security-and-Defence-Review.aspx,Yes,1
612,612 Sweden national security strategy 2024,Sweden,NSS,SWE,752,2024,48,616,13352,English,,,,,,,,,,,Prime Ministers Office,,No,0
611,611 Greenland foreign security and defense policy 2024,Greenland,NSS,GRL,304,2024,48,487,11214,English,,,,,,,,,,,Ministry of Foreign Affairs,,No,0
610,610 Georgia national security concept 2024,Georgia,NSS,GEO,268,2024,25,423,10450,English,,,,,,,,,,,Ministry of Foreign Affairs,,No,0
609,609 Australia national defence strategy 2024,Australia,WP,AUS,36,2024,80,606,15447,English,,,,,,,,,,,Ministry Of Defence,https//www.defence.gov.au/about/strategic-planning/defence-white-paper,No,0
608,608 Albania approval of the national security strategy 2024,Albania,NSS,ALB,8,2024,37,469,17317,English,,,,,,,,,,,National Parliament,,No,0
607,607 Thailand national security policy and plan 2023,Thailand,NSS,THA,764,2023,9,100,4379,English,,,,,,,,,,,National Security Council,,Yes,1
606,606 Republic of Korea national security strategy 2023,Republic of Korea,NSS,KOR,410,2023,150,746,24704,English,,,,,,,,,,,Office of National Security,,Former,0
605,605 Philippines national security policy 2023,Philippines,NSS,PHL,608,2023,50,448,13485,English,,,,,,,,,,,President,,Yes,1
604,604 Luxembourg defence guidelines 2023,Luxembourg,DD,LUX,442,2023,72,598,17456,English,,,,,,,,,,,Ministry of Defence,,No,0
603,603 Lithuania national threat assessment 2023,Lithuania,TA,LTU,440,2023,86,620,15440,English,,,,,,,,,,,State security deparment,,No,0
602,602 Latvia national security concept 2023,Latvia,NSS,LVA,428,2023,29,327,11006,English,,,,,,,,,,,Cabinet Office,,No,0
600,600 Argentina libro blanco de la defensa 2023,Argentina,WP,ARG,32,2023,261,2582,81442,English,,,,,,,,,,,Ministry of Defense,,Yes,1
599,599 Switzerland switzerlands security 2022,Switzerland,NSS,CHE,756,2022,71,620,15147,English,,,,,,,,,,,Federal Intelligence Service,,No,0
598,598 Mongolia national security concept 2022,Mongolia,NSS,MNG,496,2022,21,287,6899,English,,,,,,,,,,,Ministry of Foreign Affairs,,Yes,1
597,597 Italy the chief of defence strategic concept 2022,Italy,DD,ITA,380,2022,40,256,7856,English,,,,,,,,,,,Ministry of Defence,,No,0
596,596 France national strategic review 2022,France,DD,FRA,250,2022,60,571,15739,English,,,,,,,,,,,Ministry of Defence,,No,0
594,594 Peru policy of national security and defense 2017,Peru,NSS,PER,604,2017,21,515,17277,English,,,,,,,,,,,President,,Yes,1
593,593 Nigeria national security strategy 2014,Nigeria,NSS,NGA,566,2014,95,948,23163,English,,,,,,,,,,,National Security Council,,Yes,1
592,592 Kazakhstan on national security of the republic of Kazakhstan 2012,Kazakhstan,NSS,KAZ,398,2012,18,123,10481,English,,,,,,,,,,,Ministry of Justice,,No,0
589,589 Georgia national security concept 2011,Georgia,NSS,GEO,268,2011,28,404,10050,English,,,,,,,,,,,Presidency / Prime Ministers Office,,No,0
588,588 Taiwan national defense report 2011,Taiwan,DD,TWN,158,2011,288,1779,69609,English,,,,,,,,,,,Ministry of National Defense,,No,0
586,586 Lithuania national security strategy 2005,Lithuania,NSS,LTU,440,2005,21,336,8173,English,,,,,,,,,,,National Parliament,,No,0
584,584 Serbia and montenegro white paper on defence 2000,Serbia and Montenegro,WP,SCG,891,2000,99,1515,38608,English,,,,,,,,,,,Ministry of Defence,,No,0
583,583 Ghana National Security Strategy 2020,Ghana,NSS,GHA,288,2020,117,1442,44445,English,,,,,,,,,,,Ministry of National Security,https://mofa.gov.gh/site/images/pdf/national_security_strategy.pdf,Yes,1
582,582 Slovenia DEFENCE SECTOR STRATEGIC REVIEW 2009,Slovenia,DD,SVN,705,2009,57,701,22090,English,,,,,,,,,,,Ministry of Defence,,No,0
580,580 Poland White Paper 2001,Poland,WP,POL,616,2001,99,1067,27826,English,Polish,,,,,,,,,,Ministry Of Defence,https://www.files.ethz.ch/isn/156792/Poland-2001.pdf,No,0
579,579 Montenegro STRATEGIC DEFENCE REVIEW OF MONTENEGRO 2013,Montenegro,WP,MNE,499,2013,61,629,19558,English,,,,,,,,,,,Ministry of Defence,https://www.gov.me/en/article/134211--strategic,No,0
578,578 Japan Defence of Japan 2016,Japan,WP,JPN,392,2016,513,12445,386617,English,Japanese,Chinese,Korean,Russian,,,,,,,Ministry of Defense,https://warp.da.ndl.go.jp/info:ndljp/pid/11591426/www.mod.go.jp/e/publ/w_paper/2016.html,No,0
577,577 Japan Defence of Japan 2014,Japan,WP,JPN,392,2014,626,7371,237406,English,Japanese,Chinese,Korean,Russian,,,,,,,Ministry of Defense,https://warp.da.ndl.go.jp/info:ndljp/pid/11591426/www.mod.go.jp/e/publ/w_paper/2014.html,No,0
576,576 Guatemala White Paper on Security 2015_translated,Guatemala,NSS,GTM,320,2015,91,446,13099,English (Translated),Spanish (Original),,,,,,,,,,Technical Secretariat of the National Security Council,,Yes,1
574,574 Guatemala National Defense Policy 2013_translated,Guatemala,WP,GTM,320,2013,30,285,8157,English (Translated),Spanish (Original),,,,,,,,,,Ministry Of Defence,,Yes,1
573,573 Guatemala Book of the National Defense of the Republic of Guatemala 2003_translated,Guatemala,WP,GTM,320,2003,87,312,10313,English (Translated),Spanish (Original),,,,,,,,,,Ministry of Defense,https://www.resdal.org/Archivo/d00001f8.htm,Yes,1
572,572 Rwanda Internal Security Strategy 2008,Rwanda,NSS,RWA,646,2008,36,214,7008,English,,,,,,,,,,,Ministry Of Interior,https//docs.igihe.com/IMG/pdf/internal_security_policy.pdf,Yes,1
571,571 Trinidad and Tobago Ministry of National Security Strategic Plan 2018,Trinidad and Tobago,NSS,TTO,780,2018,102,867,22869,English,,,,,,,,,,,Ministry of National Security,https//nationalsecurity.gov.tt/specialpublications/mns-strategic-plan-2018-to-2023/,Yes,1
570,570 Palau National Security Strategy 2022,Palau,NSS,PLW,585,2022,19,348,7829,English,,,,,,,,,,,Presidency,https//pitiviti.org/storage/dm/2022/08/rop-2022-national-security-strategy-20220813191012624.pdf,Former,0
569,569 New Zealand National Security Strategy 2023,New Zealand,NSS,NZL,554,2023,44,554,13891,English,,,,,,,,,,,Central Government,https//www.dpmc.govt.nz/system/files/2023-08/National%20Security%20Strategy_August%202023.pdf,No,0
